Diseño web con HTML y CSS,PC Users,imagenes/tapa1.jpg,imagenes/contratapa1.jpg,9789871857661,2000
Programación en Turbo Pascal 5.5/6.0/7.0,Luis Joyanes Aguilar,imagenes/tapa2.jpg,imagenes/contratapa2.jpg,8448101278,5000
Blockchain y smart contracts,Emiliano B. Ocariz,imagenes/tapa3.jpg,imagenes/contratapa3.jpg,9788494897214,7000
Introducción a la economia,Daniel Perez Enri,imagenes/tapa4.jpg,imagenes/contratapa4.jpg,9789873832154,6000
En el limbo,Estanislao Bachrach,imagenes/tapa5.jpg,imagenes/contratapa5.jpg,9789500764025,15000
Agil Mente,Estanislao Bachrach,imagenes/tapa6.jpg,imagenes/contratapa6.jpg,9789877251715,9000
Como cambiar tu mente,Michael Pollan,imagenes/tapa7.jpg,imagenes/contratapa7.jpg,9788499929064,24000
Alarga tu esperanza de vida,Dr. David A. Sinclair,imagenes/tapa8.jpg,imagenes/contratapa8.jpg,9788425357107,19000
La mente iluminada,John Yates Culadasa,imagenes/tapa9.jpg,imagenes/contratapa9.jpg,9788417030360,30000
Impresión 3D para makers,David Martin Cruz,imagenes/tapa10.jpg,imagenes/contratapa10.jpg,9786075385570,15000
Hacking hardware y firmware,Varios autores,imagenes/tapa11.jpg,imagenes/contratapa11.jpg,9788499646480,25000
Gray Hat Hacking,Varios autores,imagenes/tapa12.jpg,imagenes/contratapa12.jpg,9780071742559,20000
WEB Hacking,Sheila Berta,imagenes/tapa13.jpg,imagenes/contratapa13.jpg,9789871949311,7000
Javascript: aprende a programar en el lenguaje de la red,PC Users,imagenes/tapa14.jpg,imagenes/contratapa14.jpg,9789874958082,5000
C++ Programación orientada a objetos,PC Users,imagenes/tapa15.jpg,imagenes/contratapa15.jpg,9789871949649,6000
Desarrollo web para dispositivos moviles,PC Users,imagenes/tapa16.jpg,imagenes/contratapa16.jpg,9789871949830,1500
Aprenda a programar con Python,Jose Dimas Lujan Castillo,imagenes/tapa17.jpg,imagenes/contratapa17.jpg,9788494897269,10000
Inteligencia artificial: Sistemas inteligentes con C#,PC Users,imagenes/tapa18.jpg,imagenes/contratapa18.jpg,9789871347513,8000
Catón de taquigrafia,Gabriel H. Larralde,imagenes/tapa19.jpg,imagenes/contratapa19.jpg,no tiene,500
Growing gourmet and medicinal mushrooms,Paul Stamets,imagenes/tapa20.jpg,imagenes/contratapa20.jpg,9781580081757,50000
Archipielago gulag,Alexandr Soljenitsin,imagenes/tapa21.jpg,imagenes/contratapa21.jpg,no tiene,15000
El escritor y sus fantasmas,Ernesto Sabato,imagenes/tapa22.jpg,imagenes/contratapa22.jpg,9507314954,2000
Heterodoxia,Ernesto Sabato,imagenes/tapa23.jpg,imagenes/contratapa23.jpg,9507314989,2000
Uno y el universo,Ernesto Sabato,imagenes/tapa24.jpg,imagenes/contratapa24.jpg,9507314962,2000
Antes del fin,Ernesto Sabato,imagenes/tapa25.jpg,imagenes/contratapa25.jpg,9507314926,2000
El túnel,Ernesto Sabato,imagenes/tapa26.jpg,imagenes/contratapa26.jpg,9507314896,2000
Abaddón el exterminador,Ernesto Sabato,imagenes/tapa27.jpg,imagenes/contratapa27.jpg,9507314938,2000
¡Ajá! Paradojas que hacen pensar,Martin Gardner,imagenes/tapa28.jpg,imagenes/contratapa28.jpg,9788447353316,3000
Misa sin nombre,Ernst Wiechert,imagenes/tapa29.jpg,imagenes/contratapa29.jpg,no tiene,2000
El gran libro del hardware,PC Users,imagenes/tapa30.jpg,imagenes/contratapa30.jpg,9875263338,2000
El gran libro de linux,PC Users,imagenes/tapa31.jpg,imagenes/contratapa31.jpg,9875263494,2000
La biblia de linux,PC Users,imagenes/tapa32.jpg,imagenes/contratapa32.jpg,9875261203,2000
The rose of paracelsus,William Leonard Pickard,imagenes/tapa33.jpg,imagenes/contratapa33.jpg,9780692509005,50000
El código da vinci,Dan Brown,imagenes/tapa34.jpg,imagenes/contratapa34.jpg,8495618605,4000
Inferno,Dan Brown,imagenes/tapa35.jpg,imagenes/contratapa35.jpg,9789504932529,4000
El enemigo conoce el sistema,Marta Peirano,imagenes/tapa36.jpg,imagenes/contratapa36.jpg,9788417636395,19000
Llaneros solitarios: Hackers: La guerrilla informática,Roberti/Bonsembiante,imagenes/tapa37.jpg,imagenes/contratapa37.jpg,9789508520753,2000
Superman: hijo rojo,Mark Millar,imagenes/tapa38.jpg,imagenes/contratapa38.jpg,9789876905190,5000
